-7;17.61509
-6.9;18.0697
-6.8;18.27487
-6.7;18.39815
-6.6;18.89575
-6.5;19.06717
-6.4;19.20723
-6.3;19.68938
-6.2;19.77149
-6.1;20.01942
-6;20.50649
-5.9;20.71076
-5.8;20.84507
-5.7;21.35185
-5.6;21.56672
-5.5;21.7172
-5.4;22.29628
-5.3;22.36879
-5.2;22.27157
-5.1;22.95482
-5;23.13085
-4.9;23.28506
-4.8;23.75735
-4.7;23.9608
-4.6;24.09884
-4.5;24.6101
-4.4;24.78968
-4.3;25.91607
-4.2;25.38948
-4.1;25.58263
-4;25.70238
-3.9;26.17623
-3.8;26.37145
-3.7;26.22529
-3.6;26.91765
-3.5;26.84706
-3.4;27.1117
-3.3;27.65073
-3.2;27.87325
-3.1;27.64951
-3;28.30056
-2.9;27.92148
-2.8;28.25948
-2.7;28.72834
-2.6;29.21903
-2.5;28.99379
-2.4;29.51525
-2.3;29.80815
-2.2;29.64862
-2.1;29.77261
-2;30.34339
-1.9;30.43729
-1.8;29.5057
-1.7;30.71477
-1.6;30.5824
-1.5;30.96198
-1.4;31.11349
-1.3;30.77048
-1.2;30.28254
-1.1;31.04289
-1;31.62317
-0.9;31.03798
-0.8;30.60133
-0.7;31.86603
-0.6;31.51614
-0.5;31.9501
-0.4;32.03636
-0.3;31.6626
-0.2;31.61362
-0.1;32.11443
0;31.61727
0.1;31.60029
0.2;31.64342
0.3;32.12358
0.4;31.64107
0.5;32.09777
0.6;32.03399
0.7;31.59565
0.9;31.87438
1;31.80025
1.1;31.85712
1.2;31.65025
1.3;31.37579
1.4;31.31537
1.5;31.36309
1.6;30.41549
1.7;30.55037
1.8;30.83182
1.9;30.81101
2;29.66261
2.1;29.70857
2.2;30.35324
2.3;29.95711
2.4;29.94237
2.5;29.85271
2.6;29.29793
2.7;29.54951
2.8;29.24376
2.9;29.03469
3;28.93137
3.1;28.54641
3.2;28.22406
3.3;27.26928
3.4;27.72474
3.5;27.71882
3.6;27.53808
3.7;26.52223
3.8;27.02912
3.9;26.75512
4;26.22977
4.1;26.31357
4.2;25.69926
4.3;25.37968
4.4;25.37363
4.5;24.97274
4.6;24.59796
4.7;24.2051
4.8;24.40472
4.9;22.76463
5;21.88913
5.1;23.66105
5.2;23.3209
5.3;23.17023
5.4;22.36079
5.5;22.45724
5.6;21.93921
5.7;21.81501
5.8;21.67652
5.9;21.45768
6;20.31415
6.1;20.84882
6.2;20.57203
6.3;19.97013
6.4;20.10379
6.5;19.27555
6.6;19.62409
6.7;19.31738
6.8;18.43886
6.9;18.78055
7;18.02527
7.1;18.14327
7.2;16.98614
7.3;17.4015
7.4;17.36783
7.5;16.64323
