ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
69,591.74757004198,2.5889825384812,2.6455088028924,2377.9820419985,4.0890062534813,3.2075564519547
70,591.74754477693,3.293475097725,3.9799181151545,2379.2020710767,4.9193437748317,4.0551009685604
71,591.74757577765,2.4312091039101,2.4591906752417,2377.9314152165,3.8539668202423,3.0033930269749
72,591.7475946347,0.9326977696737,-2.0890355451896,2377.4021788797,1.2532551268801,-3.5910663938139
73,591.74754935459,-5.2919623033636,1.8137043830664,2379.9143396647,-5.7381182483691,2.0555355934844
74,591.74757975296,-1.9707667209774,2.8811981589867,2377.9351155454,-3.0138055586574,3.7686253647549
75,591.74759630975,-4.7999433998544,-0.59639452410262,2383.2871507293,3.6644656243922,0.95492042918467
76,591.74756381569,-1.6085902565386,4.022220602833,2378.4292858734,-1.9890244913848,5.0748984592772
77,591.74756533253,-0.29636436790277,4.50006838581,2378.5893874925,-0.023304055508123,5.4129668707312
78,591.74754591027,3.9723906119862,-1.7823148970374,2378.4311164914,5.5284273797301,-2.981004678141
79,591.74750949421,3.218904964736,-2.5390417321458,2383.9855453581,-6.5421704948156,3.8416361697832
80,591.74760482095,-0.76517137590239,2.2875283283811,2377.452973977,-1.315048834215,2.881978759484
81,591.74757468429,1.4400177032091,3.5668284611744,2378.0851134325,2.4453376266133,4.2836688123371
82,591.7475959786,-1.1355335156966,2.6326153480572,2377.6281299952,-1.815253137864,3.3665962082211
83,591.74754781137,5.0893144446962,2.6589144461259,2380.3303409924,5.6676631436144,2.3927473710564
84,591.74760716429,-0.80971236701334,-1.2350893669633,2377.2470117824,-1.5709159616553,-2.3899420037271
85,591.74755950765,-3.6679903396828,-0.54677794858444,2377.9694397012,-5.5320016928114,-1.2317470344708
86,591.74760950422,1.4695393118054,1.5175709109826,2377.3712849588,2.2671932703259,1.8056280855027
87,591.7475550662,1.8945851760144,-3.3435932357553,2378.033327225,2.6076922493476,-5.2207198974298
88,591.74754535838,0.77976017002121,-4.186920206851,2378.3238049616,0.96059445078146,-6.2737027965203
89,591.7475368198,3.8512475728099,3.6593030632514,2379.3996399484,5.4445819297362,3.7065263847273
90,591.74761117535,1.1693979623847,-0.94242037298247,2377.2508168346,1.6485973718057,-1.8293728790042
91,591.74755613641,-2.7488026626377,3.3981069463646,2378.442895535,-3.8418096457614,4.3786969092891
92,591.74753504413,-0.49487115338782,-4.5044477328869,2378.5542763273,-0.89877946651165,-6.5911642999531
93,591.747549865,-3.6528537821041,2.2924676868393,2378.388239516,-5.3743350121648,2.922590317587
94,591.74758215006,0.05566683568241,3.7112958620549,2377.9912100492,0.32845590742645,4.6154877782838
95,591.74754540464,-0.88751429370115,-3.9951258985861,2378.2099798648,-1.4512349417826,-6.0968538391516
96,591.74756031183,1.6185205816232,4.4700377122678,2378.8278992827,2.7866542011906,4.9207989778588
97,591.74755577507,-1.6227237607468,4.7878059601933,2379.0674278603,-1.6433192757686,5.6387334444191
98,591.74759245219,-5.2428121722862,2.5964433176441,2381.1760046768,-3.4510861840893,2.2069320731052
99,591.74754737339,-3.9001845757056,1.9188198337857,2378.4143849044,-5.7004784945376,2.3726998373005
100,591.74753513388,4.7281638523039,1.8055995942759,2379.0673662424,6.4071677429209,2.0855569120862
101,591.74755619571,2.170103256041,4.4539113088871,2378.9655578838,3.5315334704359,4.6561069908419
102,591.74758767003,4.0701012942238,4.1843798046397,2381.2834247872,3.8448332484224,1.7718518120847
103,591.74753905503,4.934039797387,-2.4171133683101,2379.7062457774,5.5078588046453,-3.4641520353779
