PE (V):8000, 3rd Electrode (V):4000, x_width (mm):0, y_height (mm):0, 1st Solenoid wire current (A):5.848292590887, 2st Solenoid wire current (A):0.15890097727815
ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
22,1004.9335933655,13.648433018158,9.9788680023451,1233.2520129971,41.687589817629,30.473302443591
23,1004.9680302182,-11.140128182845,0.049779629491699,1231.7402623321,-36.255502981841,0.16517675126801
24,1004.9563172742,10.751999676202,-8.6733513535696,1231.801198762,34.751403795468,-28.037957948406
25,1004.9496754435,5.4751075246812,-0.4737970757905,1231.7642413973,17.947661920778,-1.5548006071861
26,1004.9687473588,-0.35050495322097,-15.928312192745,1233.885809143,-1.0437606261894,-47.240233526339
27,1004.9061952837,8.5452091229122,5.7916169966728,1231.7379406915,27.858981951697,18.877978223476
28,1004.9060745088,16.181446337924,-5.8656018695956,1232.5511098115,50.746983385128,-18.40059881655
29,1004.9190169867,16.101941607331,4.0088408388984,1232.1593427274,51.202961401488,12.742915970579
30,1004.9512478909,-5.3534506270947,5.3022842450379,1231.7480924067,-17.515109824739,17.350935646882
31,1004.9679928083,4.1568585232313,-4.0120714768047,1231.7639256919,13.621712121707,-13.149264306857
32,1004.9853119693,10.817149533795,8.363119039794,1231.7943934247,34.979513134847,27.039074302942
33,1004.9055247625,-4.2247388859906,-10.156633069356,1231.7381701455,-13.758147832365,-33.067234627061
34,1004.9989934226,-1.5304221087569,2.4500436430723,1231.7842278396,-5.0233054164956,8.0420362919421
35,1004.9063251152,-0.2145861167475,9.670555310021,1231.7365385611,-0.69734615362443,31.559576923744
36,1004.9814960432,-2.0117963337873,13.543047461341,1231.7950807392,-6.5010259362917,43.78978156287
37,1004.955904828,5.4262450530958,-0.72283134385635,1231.7643223517,17.787350480018,-2.3712357633918
38,1004.9694543443,-1.0365147846689,-10.726557188361,1231.7396711031,-3.3787868001836,-34.934213252968
39,1004.977166259,-1.3126244070832,-2.6594337083762,1231.7841991103,-4.3097425573612,-8.7288173983928
40,1004.9897955584,1.215902813256,7.983273436452,1231.7448468392,3.9776329710075,26.101948726926
41,1004.9315992364,15.837625188294,6.3901681695677,1232.392814965,49.937811854497,20.143641326133
42,1004.9675727785,9.2478743790448,6.2144242227087,1231.7402918264,30.098895916369,20.222155140015
43,1004.9151644546,-16.170398445424,5.441471848827,1233.103051613,-49.689088018459,16.72589268976
44,1004.9418306784,8.1641025434701,-3.5440934465079,1231.7407653979,26.668810626077,-11.57974901279
45,1004.9875223493,-11.75831705033,-4.8616437559142,1231.7634031752,-38.128539548966,-15.76094912851
46,1004.9044631201,-0.26251527580551,-11.378269277652,1231.7412276328,-0.85754225670983,-37.019644380504
47,1004.9914278729,16.432793169331,-0.95204206729477,1233.5918649966,49.466014666763,-2.8702837015971
48,1004.971690242,-6.7878142158268,0.19713208178878,1231.756702744,-22.225647556301,0.6471669611742
50,1004.9418977477,-6.0859384634773,-3.2287405500693,1231.7544520757,-19.92768208521,-10.569718455352
51,1004.9516786167,8.681686629906,14.335329945657,1233.3863481576,26.383611683315,43.556138702553
52,1004.9396679102,-3.777992703248,7.699011535177,1231.7407592665,-12.344826393882,25.162859548354
53,1004.9996482653,-8.6821086648405,-0.69573401041858,1231.7420482682,-28.365999268485,-2.2707960127278
54,1004.9817756866,-14.651405933122,-0.92761469588727,1231.8562937324,-47.198473270928,-2.9841571157987
55,1004.9548353031,16.472964112791,-2.9410144783821,1233.4025292298,50.007814612921,-8.9330224109089
56,1004.9163638684,6.7586539870698,-11.160172556814,1231.7733149481,21.897262530328,-36.164920046507
57,1004.9523961947,-7.6545730222745,-2.9427652405558,1231.7448925485,-25.027553937974,-9.6191436394243
58,1004.9978311371,10.716042936255,6.7732324965876,1231.7629266415,34.752963738546,21.96205453168
59,1004.9660932723,-9.5722595104004,-3.3124396123804,1231.7363978554,-31.210879987109,-10.797346477193
60,1004.9875734053,1.0302682714523,-8.3545994430916,1231.743258011,3.3649648814856,-27.306432113975
61,1004.9563351954,12.18217265255,-11.770399986271,1232.3005979426,38.529020858498,-37.233309807988
