ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
65,1014.9999999992,2.1701271247408,-0.24561077509335,2377.7306865733,-13.351322338985,1.3036067393191
66,1014.9999999918,0.23100285745126,3.3164402976746,2378.9020918513,-4.5760662753781,-20.54649289543
67,1014.9999999857,-3.3800075226854,-1.4374554475155,2380.4403180486,23.758814641269,9.5498374297419
68,1014.9999999932,-0.87955173549527,1.1785850518827,2377.3047401436,4.0403819767736,-6.2067549796768
69,1014.9999999853,2.4505266444217,0.50825711843239,2377.9326983824,-15.985681344718,-2.4817352168108
70,1014.9999999933,3.237498233061,0.95552519613214,2379.0991398955,-22.385965896449,-5.4131445481074
71,1014.9999999916,2.2987767400723,0.45770864755883,2377.8886425348,-14.903670805682,-2.2778929987066
72,1014.9999999936,-0.19700066679604,-1.6288743361301,2377.3855764628,2.8353399956403,9.2401449270234
73,1014.9999999941,-2.3992932105586,2.8609045429789,2379.8081009242,12.710363813298,-19.526417169522
74,1014.9999999822,-0.20571979262943,2.4394952212615,2377.8991351396,-1.5157070393743,-13.860498877776
75,1014.9999999881,-1.7480577089442,0.87709465450641,2383.1487349028,23.12770904737,-11.799146479427
76,1014.9999999885,0.46259398628011,2.8946298137048,2378.3677583059,-5.5563693500321,-17.074121602034
77,1014.9999999904,1.4072162984881,2.6837520438746,2378.520733763,-11.165864278388,-15.20670613836
78,1014.9999999971,1.7354255841825,-2.6688925166181,2378.3800734382,-7.7928692228359,14.883993295431
79,1014.9999999993,0.3809280837855,-0.99850104953964,2383.8713092168,-6.1451251267915,23.758530718385
80,1014.9999999827,0.33380522993943,1.6408348212386,2377.4356484336,-3.5403173211225,-8.9387814810457
81,1014.9999999822,2.1001183241212,1.5002352086796,2378.0325241407,-14.510602979399,-7.9945276466572
82,1014.9999999851,0.22626209919402,1.9829745212893,2377.6036677483,-3.3612132201343,-10.939669256178
83,1014.9999999974,3.5510485903369,-0.38753894740491,2380.1912059066,-26.20998022666,3.6422139809069
84,1014.9999999944,-0.96935565137051,-0.41048261338824,2377.2392314148,6.193811564914,2.6114478377075
85,1014.9999999887,-2.4511495607779,1.1084756921308,2377.9303622728,13.339592766568,-6.3282121385959
86,1014.9999999955,1.4172606346917,0.26839097173845,2377.3559538858,-8.8691277088521,-1.6299061570696
87,1014.9999999989,-0.08801098182777,-2.6861610284063,2377.9847500304,2.9173244670636,16.01882445075
88,1014.9999999846,-1.0733147611627,-2.6782949627611,2378.2578229067,8.5472746849232,16.76573529962
89,1014.9999999838,3.4157603468173,0.57059653671995,2379.289852854,-23.593166242339,-3.0329348933337
90,1014.9999999848,0.39157861719692,-1.0915618234052,2377.245468313,-0.80091289942645,5.5554578669463
91,1014.9999999988,-0.47553270335855,2.9805162342866,2378.3831075735,-0.41099672778092,-17.837846519056
92,1014.9999999973,-1.9734885444823,-2.3470928373962,2378.4802643241,13.154005531663,14.943719249705
93,1014.9999999837,-1.4284430249021,2.7157576680603,2378.3344066494,5.4815258145456,-16.231844303009
94,1014.9999999838,1.3566991242424,2.1225974906866,2377.9456971012,-10.039385884731,-11.708435170503
95,1014.9999999983,-2.0501137986123,-1.9228677596276,2378.151771505,12.941555214571,12.193362147878
96,1014.9999999981,2.4718044620792,1.9175975994218,2378.7442155322,-17.81431919739,-10.619635814431
97,1014.9999999827,0.72360703516411,3.2663095338745,2378.978692607,-7.6256200338963,-19.964334279743
98,1014.999999985,-1.9063837664674,2.989156303399,2381.0361344678,11.304367284778,-23.560761413067
99,1014.9999999874,-1.7000905257021,2.5884037224061,2378.3597831557,7.3955847392292,-15.594252336562
100,1014.9999999844,3.2799657529106,-0.76939693216741,2378.9733350098,-21.512720747467,5.4792615497858
101,1014.9999999903,2.7645110969262,1.6693077736835,2378.8719079222,-19.764352463462,-9.4398363811817
102,1014.9999999971,3.3093824836733,0.6416371907999,2381.1231569934,-27.51726441436,-4.8988358447149
