ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
1,1014.9999999856,1.1086464280675,2.4603685529946,2380.7537022765,-21.797025287772,-26.520397464861
2,1014.9999999922,-1.8034989050457,1.9072241382641,2381.4923310168,20.914107675996,-26.310687724939
3,1014.999999997,1.2613436933566,0.47577270420574,2377.4833936257,-14.867875165776,-4.4489117372237
4,1014.9999999904,0.83631540088975,-1.0097271866411,2377.3509360211,-7.3014106430506,8.2014565710332
5,1014.9999999913,-0.26181773186542,-2.6449028439072,2378.8277663356,6.4238117728181,28.283796645346
6,1014.9999999944,2.4197211847364,-1.3237085388198,2380.7864209832,-29.54067247068,16.963162497703
7,1014.9999999865,-0.23976374597817,-0.79308440885904,2377.2364666043,2.6586689525799,7.3005246865416
8,1014.9999999837,2.6174349230035,0.14462223715192,2378.9039144176,-30.038577842064,-0.47303827872344
9,1014.9999999957,1.8153748697207,1.8187683151594,2378.9800655163,-25.49393079521,-16.230161936698
10,1014.9999999837,-2.4659035064931,1.562605776255,2379.0237497572,22.431227306563,-16.609310779653
11,1014.9999999981,1.8511215816692,-2.3730563765891,2380.5005117762,-17.49637391313,26.962052461861
12,1014.9999999976,1.9326764384434,1.1830129752407,2378.4101770242,-24.586143334542,-10.214200857066
13,1014.9999999983,-0.22930659428908,1.0447559090596,2377.2767068719,-1.0515675571533,-9.4651968328394
14,1014.9999999908,-1.0696711356275,-2.0089288956546,2378.2205055655,12.813397949082,21.177261255754
15,1014.9999999813,-1.1631511823631,-0.81088020403301,2377.4270539857,11.203261217807,8.8757722416895
16,1014.9999999944,1.0716019573919,1.9424576219663,2378.2005189687,-16.400348981443,-17.246449170575
17,1014.9999999846,0.14594176111276,1.8698073090707,2377.8070553728,-6.54098706099,-17.294515633626
18,1014.9999999902,1.8660773539128,-0.31762151054228,2377.8622128898,-19.835824988591,2.9166785556458
19,1014.9999999842,-1.0165151293133,-2.3095136477997,2378.6814854892,13.282468958658,24.739835004289
20,1014.9999999979,-1.5631296936129,1.953755685733,2378.2358435442,11.725147528339,-19.053430670695
21,1014.9999999823,0.1772514133392,-1.3818208689351,2377.4036909023,-0.27939143388918,12.751130462624
22,1014.999999982,2.1525823028536,0.38232465227677,2378.1925047175,-24.616571760468,-2.8450693409553
23,1014.9999999818,1.2945268964193,0.46868036437691,2377.5011996058,-15.205835014913,-4.3696502258539
24,1014.9999999942,-0.6173505022834,-1.2108896313245,2377.410752656,6.9363252794418,12.223884094222
25,1014.9999999891,-1.2058706822316,2.6011647538601,2378.9861739684,7.9321517075988,-26.609567339274
26,1014.9999999934,-0.47822687054411,1.1829500248926,2377.3272755998,1.1583645746077,-10.55974430655
27,1014.9999999935,0.4240391634722,-0.67975473699242,2377.2439020899,-3.8103611332842,5.3225519228269
28,1014.9999999951,-1.6559355465056,0.77659227764548,2377.5913333518,13.607882153287,-6.6323178320861
29,1014.999999993,1.9355838469917,0.24604963296226,2377.8898137729,-21.80272556495,-1.8993874003727
30,1014.9999999967,1.6856825316767,-1.0198812220776,2377.8351325525,-16.264048395258,8.8592905543316
31,1014.9999999909,-1.2914421708138,1.8554977556913,2377.9055076761,8.7237533105493,-17.285898406059
32,1014.9999999927,0.93306617690996,0.52244642198334,2383.1132918283,-30.68114636083,-13.139561626145
33,1014.9999999964,-1.5468418460317,0.18266893511145,2382.9645412403,31.87045563326,-0.62170050240868
34,1014.9999999998,-0.88695582821199,0.16090215546517,2384.7114616636,-22.412096988819,6.8489337568697
35,1014.999999982,-1.9456556968892,0.75500666801323,2382.4076088682,30.482483712102,-11.385661796274
36,1014.9999999855,2.5934150023458,0.76296707774478,2379.6743574243,-32.773197590294,-7.7287082370453
37,1014.9999999933,-0.56564152236999,-2.7363304526775,2380.0324657364,11.042353294897,32.217536550534
38,1014.9999999954,-2.0579755898391,-0.9980030673168,2378.1576477343,20.522823661807,11.935809366406
39,1014.9999999822,-0.27192915692398,-1.8325243382522,2377.7636911229,4.6391375592005,18.305817602383
40,1014.9999999863,-1.9684163267597,1.4043559131489,2381.9194427294,25.463863955464,-21.403705738298
