ion#, endposx (mm), endposy (mm), endposz (mm), endvelx (mm/usec), endvely (mm/usec), endvelz (mm/usec)
99,1004.969587451,-0.42178622287097,0.63298206828951,2385.5261122953,14.25470913116,-21.390404069935
100,1004.9585364651,-0.93010608717324,0.26866103989572,2387.5847169318,44.982427948577,-12.987479330541
101,1004.9461988532,-0.34912586442473,-0.007772225499743,2385.1654908805,11.297803433512,0.26186123703711
102,1004.987938223,-0.7287017290952,0.67006987261259,2386.0629733415,26.48099777129,-24.330120032136
103,1004.9638848746,0.85356637931545,0.55689895250817,2387.2656394212,-38.269749997813,-24.968216088835
104,1004.9304224255,0.6717219495012,0.79929249848375,2386.4100971891,-25.721180892309,-30.583209754583
105,1004.9465817549,0.26076978760531,0.31045488612638,2385.1914258615,-8.4904497893568,-10.057768661586
106,1004.9939220712,0.36382853093104,-0.37102415802029,2385.2678545895,-11.924163943688,12.166833756764
107,1004.9740594207,0.54757917948061,-0.11834919911047,2391.0563236687,37.263441587001,-8.0509798941655
108,1004.9299902916,0.014390452707171,-0.11085021990182,2390.3681118193,5.4495365676295,-41.976365717518
109,1004.9776962335,0.99623519262676,-0.094516886378137,2386.1156650106,-36.483510989909,3.4659560162764
110,1004.9773367429,-0.50420419872748,0.28180845950427,2388.9335366493,41.308917193372,-23.093211951741
111,1004.9943966872,0.70105036250884,0.49255678591295,2385.685289103,-24.195063150107,-16.986829609593
112,1004.9614368838,0.64920980200381,-0.76321712167708,2387.3810118091,-29.911173721069,35.17233793404
113,1004.9296421321,1.0306697390365,0.16973567346858,2386.4154160493,-39.488786343274,-6.4888587902965
114,1004.984245924,0.49491788107212,0.92993163056796,2386.8576183615,-20.479145546805,-38.475793466331
115,1004.9511833945,-0.13460369623024,-1.0193852148959,2386.2642079,5.0318490028243,38.100447576739
116,1004.9627653969,-0.85294791859551,0.27334941886443,2387.9153695774,45.204105991996,-14.486502773336
117,1004.9390420405,0.75417556947148,-0.26424585857767,2385.5834937315,-25.651260629205,9.0028386440522
118,1004.9955320247,-0.090498718049531,0.36491810002474,2385.183975047,2.9195544996312,-11.830254580047
119,1004.9613732611,-0.067349061729483,-0.2606363067693,2385.1371536183,2.1736656958318,8.3919356060364
120,1004.9624201991,-0.98825396318922,0.20737736552833,2387.3291304764,44.982935593447,-9.4523515351471
121,1004.9618672693,0.071091074990306,1.0032383966384,2387.3554325281,-3.2676021560198,-45.961393209573
