X,Y,Z,Bx,By,Bz
0.0509205,0.000833373,-0.00380132,-0.123999,0.000141776,-0.000874834
0.0493322,0.00355368,-0.00694005,-0.123958,0.00108289,-0.00251134
0.0478793,0.00675207,-0.00592141,-0.123075,0.00133571,-0.00179735
0.050195,0.00398678,-0.00464008,-0.123945,0.000765836,-0.00131642
0.0486048,0.00359867,-0.00508264,-0.123159,0.000792366,-0.00159262
0.0478106,0.00495882,-0.006652,-0.123077,0.00092174,-0.00230182
0.0494008,0.00534693,-0.00620945,-0.123837,0.000967034,-0.00181015
0.0501264,0.00219353,-0.00537068,-0.12397,0.000596766,-0.00144576
0.000964263,-0.00714018,-0.00547885,-0.0356541,-0.00801778,-0.00677765
0.0043545,-0.00507159,-0.00512461,-0.0450014,-0.0068615,-0.00698895
0.00566433,-0.00636396,-0.00636396,-0.0481555,-0.00897481,-0.00882588
0.0013697,-0.00636396,-0.00636396,-0.0364107,-0.00756777,-0.00780322
0.00265938,-0.00610589,-0.00530173,-0.0403519,-0.00749461,-0.00705497
0.00500942,-0.00571778,-0.00574429,-0.0464613,-0.00782037,-0.00823033
0.0033143,-0.00675207,-0.00592141,-0.0417451,-0.00832432,-0.00826103
0.00116698,-0.00675207,-0.00592141,-0.0359785,-0.00800257,-0.00717269
0.0028621,-0.00571778,-0.00574429,-0.0406206,-0.00739847,-0.00770475
0.00351702,-0.00636396,-0.00636396,-0.0421234,-0.00789969,-0.00916619
0.123476,-0.00831492,-0.00344415,-0.114448,0.00326397,0.000519398
0.124257,-0.00779423,-0.0045,-0.11394,0.00318531,0.00120927
0.121796,-0.00628707,-0.003207,-0.115384,0.00227567,8.81332E-05
0.127167,-0.00603798,-0.00290907,-0.110398,0.00283958,0.00117809
0.123866,-0.00805457,-0.00397208,-0.114182,0.00328611,0.00090201
0.123027,-0.00704065,-0.0038535,-0.114754,0.00267448,0.000552156
0.122636,-0.00730099,-0.00332557,-0.114916,0.00274882,0.000442488
0.125322,-0.00717645,-0.00317661,-0.112446,0.00311059,0.000931615
0.125712,-0.0069161,-0.00370453,-0.112159,0.00300752,0.00129595
0.124482,-0.00616253,-0.00305803,-0.113023,0.00262207,0.000659062
-0.03,-0.00831492,-0.00344415,-0.00299114,-0.00132911,-0.000371446
-0.0197356,-0.00633949,-0.00385671,-0.00837815,-0.00161708,-0.00103343
-0.00940462,-0.00779423,-0.0045,-0.0149133,-0.00529447,-0.00278089
-0.03,-0.00779423,-0.0045,-0.00298282,-0.0011768,-0.000536446
-0.0248678,-0.0073272,-0.00365043,-0.00563822,-0.00182395,-0.000878573
