X,Y,Z,Bx,By,Bz
0.123027,-0.00704065,-0.0038535,0.21519,-0.00503494,-0.000982563
0.122636,-0.00730099,-0.00332557,0.215498,-0.00517359,-0.000775416
0.125322,-0.00717645,-0.00317661,0.210843,-0.00583744,-0.00169602
0.125712,-0.0069161,-0.00370453,0.210308,-0.00564903,-0.00237881
0.124482,-0.00616253,-0.00305803,0.211936,-0.00491644,-0.0011807
-0.03,-0.00831492,-0.00344415,0.00471067,0.00302792,0.000800496
-0.0197356,-0.00633949,-0.00385671,0.0155646,0.00380913,0.00251911
-0.00940462,-0.00779423,-0.0045,0.028549,0.00677434,0.00845177
-0.03,-0.00779423,-0.0045,0.0046265,0.00278124,0.00106391
-0.0248678,-0.0073272,-0.00365043,0.0100789,0.00423849,0.00202431
-0.0145701,-0.00706686,-0.00417836,0.0216443,0.0023801,0.00532295
-0.0197023,-0.00805457,-0.00397208,0.0159684,0.00341553,0.00278547
-0.03,-0.00805457,-0.00397208,0.00464999,0.00301353,0.000886883
-0.0248678,-0.00706686,-0.00417836,0.00995389,0.00467347,0.00216058
-0.0197023,-0.00779423,-0.0045,0.0158812,0.00350605,0.00423314
0.231,-0.00344415,0.00831492,0.00155184,-7.83531E-05,0.000378168
0.231,-0.0045,0.00779423,0.00143582,-0.000103307,0.000295116
0.224969,-0.0025358,0.00755437,0.00186651,8.23688E-05,4.84875E-05
0.231,-0.000493972,0.0063862,0.00143709,4.90347E-05,0.000175583
0.231,-0.00397208,0.00805457,0.00155664,-8.27348E-05,0.000355504
0.227984,-0.0035179,0.0076743,0.00167457,-7.92852E-05,-1.53587E-05
0.227984,-0.00298997,0.00793464,0.00170498,6.94067E-05,0.000170169
0.231,-0.00196906,0.00735056,0.00149128,-1.18931E-05,0.000263086
0.231,-0.00249699,0.00709021,0.00147745,-2.74443E-05,0.000237788
0.227984,-0.00151488,0.00697028,0.00163828,5.69311E-05,0.000162702
0.151221,0.00454541,0.00568369,0.141377,0.0102589,0.0124836
0.148895,0.00117474,0.008923,0.151559,0.00278178,0.0153488
