X [m], Y [m], Z [m], MagneticFluxDensity X [T], MagneticFluxDensity Y [T], MagneticFluxDensity Z [T]
0.0513389, -0.00650115, 0.00220684, -0.163876, -0.00136318, 0.000776383
0.0473504, -0.00624679, 0.00258751, -0.161793, -0.00258105, 0.00153175
0.0509268, -0.00624679, 0.00258751, -0.163664, -7.43293e-05, 0.000366639
0.201, 0.00555347, 0.00426133, -0.00428898, -0.00109428, -0.00120532
0.201, 0.00494975, 0.00494975, -0.00409083, -0.00105087, -0.00130615
0.197926, 0.00694011, 0.000913683, -0.00548982, -0.00184984, -0.000180523
0.192003, 0, -0.00512461, -0.00870141, 1.14079e-05, 0.00170473
0.201, 0.00525161, 0.00460554, -0.00428097, -0.00109011, -0.00128669
0.199463, 0.00594493, 0.00293172, -0.00453358, -0.00150055, -0.00136825
0.199463, 0.00624679, 0.00258751, -0.00487149, -0.00243048, -0.00138588
0.196502, 0.00277674, -0.000431641, -0.00663788, -0.000528248, 0.000107432
0.196502, 0.00247487, -8.74323e-05, -0.00654952, -0.000555765, -1.95457e-05
0.194965, 0.00347006, -0.00210546, -0.00725692, -0.000778024, 0.000493417
0.146184, 0.00181173, 0.00676148, -0.116715, -0.00311386, -0.00822121
0.139038, 0.000913683, 0.00694011, -0.133035, -0.00151056, -0.00670406
0.140692, -0.000996891, 0.00449877, -0.128837, 0.000837707, -0.00442851
0.145834, 0.000913683, 0.00694011, -0.117761, -0.00161525, -0.00837776
0.142611, 0.00136271, 0.0068508, -0.125221, -0.00168778, -0.00748851
0.139865, -4.16037e-05, 0.00571944, -0.131056, -0.000328294, -0.00555695
0.143438, 0.000407421, 0.00563012, -0.123102, -0.000825627, -0.00620356
0.146009, 0.00136271, 0.0068508, -0.117322, -0.00210292, -0.00824003
0.142436, 0.000913683, 0.00694011, -0.125593, -0.00123102, -0.00747992
0.143263, -4.16037e-05, 0.00571944, -0.123456, -0.000327112, -0.00635707
0.138519, -0.0035, -0.00606218, -0.132951, 0.00536701, 0.0107104
0.139303, -0.00267878, -0.00646716, -0.131534, 0.00488333, 0.0106576
0.129328, -0.00267878, -0.00646716, -0.146729, 0.00189145, 0.00312848
0.130119, -0.00181173, -0.00676148, -0.145786, 0.000408993, 0.00373645
0.138911, -0.00308939, -0.00626467, -0.132289, 0.00409709, 0.00886142
0.134315, -0.00267878, -0.00646716, -0.13943, 0.00110768, 0.00527869
0.133923, -0.00308939, -0.00626467, -0.140165, 0.00302548, 0.00954107
0.134319, -0.00265587, -0.00641183, -0.139657, 0.000480214, 0.00366569
0.134711, -0.00224526, -0.00661432, -0.13895, 0.000478697, 0.00416711
0.129723, -0.00224526, -0.00661432, -0.146342, 0.00207605, 0.00527915
0.144067, -0.00267878, 0.00646716, -0.122112, 0.00312076, -0.00755178
0.148957, -0.00494975, 0.00494975, -0.109431, 0.00627576, -0.00585682
0.144583, -0.0035, 0.00606218, -0.120967, 0.00457072, -0.00800211
0.145834, 0.000913683, 0.00694011, -0.117761, -0.00161525, -0.00837776
0.146512, -0.00381427, 0.00570845, -0.115744, 0.00480402, -0.00739584
0.14677, -0.00422487, 0.00550596, -0.115019, 0.00505912, -0.00684285
0.144325, -0.00308939, 0.00626467, -0.121678, 0.00392589, -0.00778799
0.14495, -0.00088255, 0.00670364, -0.11987, 0.000645023, -0.00766458
0.147395, -0.00201803, 0.00594493, -0.113373, 0.00232468, -0.00760594
0.145208, -0.00129316, 0.00650115, -0.119072, 0.00117167, -0.00737384
0.0531031, -0.00606218, 0.0035, -0.164091, 0.00378414, -0.00142253
0.052279, -0.00555347, 0.00426133, -0.164, -0.000855472, 0.000828331
0.0528952, -0.00676148, 0.00181173, -0.164072, -0.001193, 0.000289458
0.0495746, -0.00694011, 0.000913683, -0.162925, 3.14123e-05, 6.44716e-05
0.052691, -0.00580783, 0.00388067, -0.164081, 0.00218346, -0.000515486
0.0525871, -0.00615748, 0.00303653, -0.164034, 0.00145059, -0.000517852
0.0529992, -0.00641183, 0.00265587, -0.164371, 0.000308723, -0.000247797
0.0513389, -0.00650115, 0.00220684, -0.163876, -0.00136318, 0.000776383
0.0509268, -0.00624679, 0.00258751, -0.163664, -7.43293e-05, 0.000366639
0.0512349, -0.0068508, 0.00136271, -0.163667, -0.00207459, 0.000881333
0.197349, -0.0035, -0.00606218, -0.00588207, 0.000914102, 0.000974222
0.197075, 0, -0.00512461, -0.00627857, -0.00014933, 0.000881777
0.198564, -0.00426133, -0.00555347, -0.0055921, 0.000843268, 0.000797139
0.201, -0.0035, -0.00606218, -0.00492818, 0.000664473, 0.000699336
0.197212, -0.00175, -0.00559339, -0.00609901, 0.00033095, 0.000911963
0.197819, -0.00213067, -0.00533904, -0.00592707, 0.000408189, 0.000783194
0.197956, -0.00388067, -0.00580783, -0.00572921, 0.000940795, 0.000906439
0.199175, -0.0035, -0.00606218, -0.00544905, 0.00075688, 0.000814738
0.199038, -0.00175, -0.00559339, -0.00557404, 0.000284717, 0.000751328
0.199782, -0.00388067, -0.00580783, -0.00526012, 0.000671786, 0.000739794
-0.03, -0.00426133, -0.00555347, -0.00527026, -0.00118184, -0.000563355
-0.0255504, -0.0035, -0.00606218, -0.00599008, -0.00400105, 0.00139229
-0.03, -2.42861e-20, -2.35637e-05, -0.00560947, 1.70078e-05, 0.000185665
-0.0260751, -0.00507159, -5.30183e-05, -0.00724142, -0.00116719, -0.000133955
-0.0277752, -0.00388067, -0.00580783, -0.00614556, -0.00214419, -0.000675556
-0.0277752, -0.00175, -0.00304287, -0.00617721, -0.000546213, -3.12155e-05
-0.03, -0.00213067, -0.00278852, -0.00533663, -0.000572233, -0.000146427
-0.0280375, -0.00466646, -0.00280325, -0.00609643, -0.00113834, -0.000428871
-0.0258127, -0.0042858, -0.0030576, -0.00720378, -0.00115502, -0.000386989
-0.0280375, -0.0025358, -3.8291e-05, -0.0063697, -0.000568106, -0.0001009
0.182059, -0.00555347, 0.00426133, -0.0167369, 0.00360609, -0.0021624
0.181835, -0.00606218, 0.0035, -0.0170562, 0.00410673, -0.00206825
0.179324, -0.0025358, 0.00248278, -0.0225668, 0.00225113, -0.00193851
0.18186, 0, 0.00501858, -0.0174876, 0.000545192, -0.00242873
0.181947, -0.00580783, 0.00388067, -0.0169081, 0.00383803, -0.00202063
0.18058, -0.00429899, 0.00299139, -0.019936, 0.00320487, -0.00233487
0.180692, -0.00404464, 0.00337205, -0.0197352, 0.0029106, -0.00244578
0.18196, -0.00277674, 0.00463995, -0.0182923, 0.00192085, -0.00145562
0.181848, -0.00303109, 0.00425929, -0.0176, 0.00234538, -0.00259867
